Store,DayOfWeek,Date,Sales,Customers,Open,Promo,PublicHoliday,Easter,Christmas,NoHoliday,SchoolHoliday,StoreTypeA,StoreTypeB,StoreTypeC,StoreTypeD,BasicAssortment,ExtraAssortment,ExtendedAssortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PIJanAprJulOct,PIFebMayAugNov,PIMarJunSeptDec
1,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1270.0,9.0,2008.0,0,0,0,0,0,0
2,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,570.0,11.0,2007.0,1,13.0,2010.0,1,0,0
3,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,0,0
4,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,620.0,9.0,2009.0,0,0,0,0,0,0
5,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,29910.0,4.0,2015.0,0,0,0,0,0,0
6,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,310.0,12.0,2013.0,0,0,0,0,0,0
7,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,24000.0,4.0,2013.0,0,0,0,0,0,0
8,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,7520.0,10.0,2014.0,0,0,0,0,0,0
9,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2030.0,8.0,2000.0,0,0,0,0,0,0
10,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,3160.0,9.0,2009.0,0,0,0,0,0,0
11,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,960.0,11.0,2011.0,1,1.0,2012.0,1,0,0
12,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1070.0,0,0,1,13.0,2010.0,1,0,0
13,5,42214,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,310.0,0,0,1,45.0,2009.0,0,1,0
14,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,0,0
15,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0
16,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,3270.0,0,0,0,0,0,0,0,0
17,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,50.0,12.0,2005.0,1,26.0,2010.0,1,0,0
18,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,13840.0,6.0,2010.0,1,14.0,2012.0,1,0,0
19,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,3240.0,0,0,1,22.0,2011.0,0,0,1
20,5,42214,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0
21,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,550.0,10.0,1999.0,1,45.0,2009.0,1,0,0
22,5,42214,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1040.0,0,0,1,22.0,2012.0,1,0,0
23,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,4060.0,8.0,2005.0,0,0,0,0,0,0
24,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,4590.0,3.0,2000.0,1,40.0,2011.0,1,0,0
25,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,430.0,4.0,2003.0,0,0,0,0,0,0
26,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,2300.0,0,0,0,0,0,0,0,0
27,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,60.0,1.0,2005.0,1,5.0,2011.0,1,0,0
28,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1200.0,10.0,2014.0,1,6.0,2015.0,0,0,1
29,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,2170.0,0,0,0,0,0,0,0,0
30,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,40.0,2.0,2014.0,1,10.0,2014.0,0,0,1
31,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,9800.0,7.0,2012.0,0,0,0,0,0,0
32,5,42214,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,2910.0,0,0,1,45.0,2009.0,0,1,0
33,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1320.0,5.0,2013.0,0,0,0,0,0,0
34,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,2240.0,9.0,2009.0,0,0,0,0,0,0
35,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,7660.0,10.0,2000.0,1,1.0,2012.0,1,0,0
36,5,42214,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,540.0,6.0,2003.0,1,40.0,2014.0,1,0,0
37,5,42214,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,4230.0,12.0,2014.0,0,0,0,0,0,0
38,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1090.0,4.0,2007.0,0,0,0,0,0,0
39,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,260.0,10.0,2006.0,1,31.0,2013.0,0,1,0
40,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,180.0,0,0,1,45.0,2009.0,0,1,0
41,5,42214,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1180.0,0,0,1,31.0,2013.0,1,0,0
42,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,290.0,0,0,1,40.0,2011.0,1,0,0
43,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,4880.0,0,0,1,37.0,2009.0,1,0,0
44,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,540.0,6.0,2011.0,0,0,0,0,0,0
45,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,9710.0,2.0,2014.0,0,0,0,0,0,0
46,5,42214,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1200.0,9.0,2005.0,1,14.0,2011.0,1,0,0
47,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,270.0,4.0,2013.0,1,14.0,2013.0,1,0,0
48,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1060.0,5.0,2012.0,0,0,0,0,0,0
49,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,18010.0,9.0,2007.0,0,0,0,0,0,0
50,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,6260.0,11.0,2009.0,0,0,0,0,0,0
51,5,42214,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,10570.0,7.0,2013.0,1,9.0,2011.0,1,0,0
52,5,42214,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,450.0,4.0,2014.0,1,39.0,2010.0,1,0,0
53,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,30360.0,9.0,2013.0,0,0,0,0,0,0
54,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,7170.0,8.0,2014.0,1,5.0,2013.0,0,1,0
55,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,720.0,11.0,2004.0,0,0,0,0,0,0
56,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,6620.0,3.0,2012.0,1,10.0,2014.0,0,0,1
57,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,420.0,6.0,2014.0,0,0,0,0,0,0
58,5,42214,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,7340.0,5.0,2008.0,1,27.0,2012.0,1,0,0
59,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2840.0,6.0,2007.0,1,14.0,2011.0,1,0,0
60,5,42214,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,5540.0,10.0,2009.0,0,0,0,0,0,0
61,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,350.0,12.0,2007.0,1,1.0,2012.0,1,0,0
62,5,42214,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,2050.0,0,0,0,0,0,0,0,0
