Store,DayOfWeek,Date,Sales,Customers,Open,Promo,PublicHoliday,Easter,Christmas,NoHoliday,SchoolHoliday,StoreTypeA,StoreTypeB,StoreTypeC,StoreTypeD,BasicAssortment,ExtraAssortment,ExtendedAssortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PIJanAprJulOct,PIFebMayAugNov,PIMarJunSeptDec
1,5,42214,5263,555,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1270.0,9.0,2008.0,0,0,0,0,0,0
2,5,42214,6064,625,1,1,0,0,0,1,1,1,0,0,0,1,0,0,570.0,11.0,2007.0,1,13.0,2010.0,1,0,0
3,5,42214,8314,821,1,1,0,0,0,1,1,1,0,0,0,1,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,0,0
4,5,42214,13995,1498,1,1,0,0,0,1,1,0,0,1,0,0,0,1,620.0,9.0,2009.0,0,0,0,0,0,0
5,5,42214,4822,559,1,1,0,0,0,1,1,1,0,0,0,1,0,0,29910.0,4.0,2015.0,0,0,0,0,0,0
6,5,42214,5651,589,1,1,0,0,0,1,1,1,0,0,0,1,0,0,310.0,12.0,2013.0,0,0,0,0,0,0
7,5,42214,15344,1414,1,1,0,0,0,1,1,1,0,0,0,0,0,1,24000.0,4.0,2013.0,0,0,0,0,0,0
8,5,42214,8492,833,1,1,0,0,0,1,1,1,0,0,0,1,0,0,7520.0,10.0,2014.0,0,0,0,0,0,0
9,5,42214,8565,687,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2030.0,8.0,2000.0,0,0,0,0,0,0
10,5,42214,7185,681,1,1,0,0,0,1,1,1,0,0,0,1,0,0,3160.0,9.0,2009.0,0,0,0,0,0,0
11,5,42214,10457,1236,1,1,0,0,0,1,1,1,0,0,0,0,0,1,960.0,11.0,2011.0,1,1.0,2012.0,1,0,0
12,5,42214,8959,962,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1070.0,0,0,1,13.0,2010.0,1,0,0
13,5,42214,8821,568,1,1,0,0,0,1,0,0,0,0,1,1,0,0,310.0,0,0,1,45.0,2009.0,0,1,0
14,5,42214,6544,710,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,0,0
15,5,42214,9191,766,1,1,0,0,0,1,1,0,0,0,1,0,0,1,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0
16,5,42214,10231,979,1,1,0,0,0,1,1,1,0,0,0,0,0,1,3270.0,0,0,0,0,0,0,0,0
17,5,42214,8430,946,1,1,0,0,0,1,1,1,0,0,0,1,0,0,50.0,12.0,2005.0,1,26.0,2010.0,1,0,0
18,5,42214,10071,936,1,1,0,0,0,1,1,0,0,0,1,0,0,1,13840.0,6.0,2010.0,1,14.0,2012.0,1,0,0
19,5,42214,8234,718,1,1,0,0,0,1,1,1,0,0,0,0,0,1,3240.0,0,0,1,22.0,2011.0,0,0,1
20,5,42214,9593,974,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0
21,5,42214,9515,682,1,1,0,0,0,1,1,0,0,1,0,0,0,1,550.0,10.0,1999.0,1,45.0,2009.0,1,0,0
22,5,42214,6566,633,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1040.0,0,0,1,22.0,2012.0,1,0,0
23,5,42214,7273,560,1,1,0,0,0,1,1,0,0,0,1,1,0,0,4060.0,8.0,2005.0,0,0,0,0,0,0
24,5,42214,14190,1082,1,1,0,0,0,1,1,1,0,0,0,0,0,1,4590.0,3.0,2000.0,1,40.0,2011.0,1,0,0
25,5,42214,14180,1586,1,1,0,0,0,1,1,0,0,1,0,1,0,0,430.0,4.0,2003.0,0,0,0,0,0,0
26,5,42214,7818,611,1,1,0,0,0,1,1,0,0,0,1,1,0,0,2300.0,0,0,0,0,0,0,0,0
27,5,42214,13213,1263,1,1,0,0,0,1,1,1,0,0,0,1,0,0,60.0,1.0,2005.0,1,5.0,2011.0,1,0,0
28,5,42214,7301,663,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1200.0,10.0,2014.0,1,6.0,2015.0,0,0,1
29,5,42214,9411,737,1,1,0,0,0,1,1,0,0,0,1,0,0,1,2170.0,0,0,0,0,0,0,0,0
30,5,42214,4776,625,1,1,0,0,0,1,1,1,0,0,0,1,0,0,40.0,2.0,2014.0,1,10.0,2014.0,0,0,1
31,5,42214,7248,645,1,1,0,0,0,1,1,0,0,0,1,0,0,1,9800.0,7.0,2012.0,0,0,0,0,0,0
32,5,42214,6395,635,1,1,0,0,0,1,0,1,0,0,0,1,0,0,2910.0,0,0,1,45.0,2009.0,0,1,0
33,5,42214,10789,915,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1320.0,5.0,2013.0,0,0,0,0,0,0
34,5,42214,11144,1162,1,1,0,0,0,1,1,0,0,1,0,1,0,0,2240.0,9.0,2009.0,0,0,0,0,0,0
35,5,42214,12412,777,1,1,0,0,0,1,1,0,0,0,1,0,0,1,7660.0,10.0,2000.0,1,1.0,2012.0,1,0,0
36,5,42214,12422,1251,1,1,0,0,0,1,0,1,0,0,0,0,0,1,540.0,6.0,2003.0,1,40.0,2014.0,1,0,0
37,5,42214,9091,888,1,1,0,0,0,1,1,0,0,1,0,1,0,0,4230.0,12.0,2014.0,0,0,0,0,0,0
38,5,42214,7434,608,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1090.0,4.0,2007.0,0,0,0,0,0,0
39,5,42214,8336,929,1,1,0,0,0,1,1,1,0,0,0,1,0,0,260.0,10.0,2006.0,1,31.0,2013.0,0,1,0
40,5,42214,5464,678,1,1,0,0,0,1,1,1,0,0,0,1,0,0,180.0,0,0,1,45.0,2009.0,0,1,0
41,5,42214,6938,494,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1180.0,0,0,1,31.0,2013.0,1,0,0
42,5,42214,11946,1235,1,1,0,0,0,1,1,1,0,0,0,0,0,1,290.0,0,0,1,40.0,2011.0,1,0,0
43,5,42214,8096,683,1,1,0,0,0,1,1,0,0,0,1,1,0,0,4880.0,0,0,1,37.0,2009.0,1,0,0
44,5,42214,6670,665,1,1,0,0,0,1,1,1,0,0,0,1,0,0,540.0,6.0,2011.0,0,0,0,0,0,0
45,5,42214,6301,442,1,1,0,0,0,1,1,0,0,0,1,1,0,0,9710.0,2.0,2014.0,0,0,0,0,0,0
46,5,42214,7628,775,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1200.0,9.0,2005.0,1,14.0,2011.0,1,0,0
47,5,42214,9379,1021,1,1,0,0,0,1,1,1,0,0,0,0,0,1,270.0,4.0,2013.0,1,14.0,2013.0,1,0,0
48,5,42214,3874,390,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1060.0,5.0,2012.0,0,0,0,0,0,0
49,5,42214,10310,666,1,1,0,0,0,1,1,0,0,0,1,0,0,1,18010.0,9.0,2007.0,0,0,0,0,0,0
50,5,42214,5729,441,1,1,0,0,0,1,1,0,0,0,1,1,0,0,6260.0,11.0,2009.0,0,0,0,0,0,0
51,5,42214,9198,610,1,1,0,0,0,1,0,1,0,0,0,0,0,1,10570.0,7.0,2013.0,1,9.0,2011.0,1,0,0
52,5,42214,8031,527,1,1,0,0,0,1,0,0,0,0,1,0,0,1,450.0,4.0,2014.0,1,39.0,2010.0,1,0,0
53,5,42214,7540,690,1,1,0,0,0,1,1,1,0,0,0,0,0,1,30360.0,9.0,2013.0,0,0,0,0,0,0
54,5,42214,10732,889,1,1,0,0,0,1,1,0,0,0,1,0,0,1,7170.0,8.0,2014.0,1,5.0,2013.0,0,1,0
55,5,42214,6096,673,1,1,0,0,0,1,1,1,0,0,0,1,0,0,720.0,11.0,2004.0,0,0,0,0,0,0
56,5,42214,10022,619,1,1,0,0,0,1,1,0,0,0,1,0,0,1,6620.0,3.0,2012.0,1,10.0,2014.0,0,0,1
57,5,42214,11594,1025,1,1,0,0,0,1,1,0,0,0,1,0,0,1,420.0,6.0,2014.0,0,0,0,0,0,0
58,5,42214,8581,603,1,1,0,0,0,1,0,1,0,0,0,0,0,1,7340.0,5.0,2008.0,1,27.0,2012.0,1,0,0
59,5,42214,7148,628,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2840.0,6.0,2007.0,1,14.0,2011.0,1,0,0
60,5,42214,9762,776,1,1,0,0,0,1,1,0,0,0,1,0,0,1,5540.0,10.0,2009.0,0,0,0,0,0,0
61,5,42214,5572,665,1,1,0,0,0,1,1,1,0,0,0,0,0,1,350.0,12.0,2007.0,1,1.0,2012.0,1,0,0
62,5,42214,7495,772,1,1,0,0,0,1,1,1,0,0,0,1,0,0,2050.0,0,0,0,0,0,0,0,0
63,5,42214,11525,846,1,1,0,0,0,1,1,0,0,1,0,0,0,1,3700.0,6.0,2010.0,1,18.0,2010.0,0,1,0
64,5,42214,13251,935,1,1,0,0,0,1,1,0,0,0,1,0,0,1,22560.0,0,0,1,14.0,2013.0,1,0,0
65,5,42214,7156,561,1,1,0,0,0,1,1,1,0,0,0,0,0,1,13840.0,5.0,2010.0,1,1.0,2012.0,1,0,0
66,5,42214,8306,636,1,1,0,0,0,1,1,0,0,0,1,1,0,0,7660.0,0,0,1,37.0,2009.0,1,0,0
67,5,42214,11035,912,1,1,0,0,0,1,1,1,0,0,0,0,0,1,410.0,2.0,2006.0,0,0,0,0,0,0
68,5,42214,11187,1341,1,1,0,0,0,1,1,1,0,0,0,0,0,1,250.0,0,0,1,35.0,2012.0,0,0,1
69,5,42214,11204,1371,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1130.0,0,0,1,40.0,2011.0,1,0,0
70,5,42214,8613,741,1,1,0,0,0,1,1,0,0,1,0,0,0,1,4840.0,0,0,0,0,0,0,0,0
71,5,42214,11545,869,1,1,0,0,0,1,1,1,0,0,0,1,0,0,17500.0,8.0,2008.0,1,37.0,2009.0,0,0,1
72,5,42214,5251,520,1,1,0,0,0,1,0,1,0,0,0,1,0,0,2200.0,12.0,2009.0,1,13.0,2010.0,1,0,0
73,5,42214,6026,537,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1650.0,9.0,2008.0,0,0,0,0,0,0
74,5,42214,7518,929,1,1,0,0,0,1,1,1,0,0,0,1,0,0,330.0,0,0,0,0,0,0,0,0
75,5,42214,7444,807,1,1,0,0,0,1,1,0,0,0,1,0,0,1,22440.0,12.0,2013.0,0,0,0,0,0,0
76,5,42214,12887,1228,1,1,0,0,0,1,0,0,0,0,1,0,0,1,19960.0,3.0,2006.0,0,0,0,0,0,0
77,5,42214,10335,780,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1090.0,8.0,2009.0,1,10.0,2014.0,1,0,0
78,5,42214,5712,610,1,1,0,0,0,1,1,1,0,0,0,1,0,0,3510.0,11.0,2006.0,1,5.0,2013.0,0,1,0
79,5,42214,7150,643,1,1,0,0,0,1,1,1,0,0,0,1,0,0,3320.0,0,0,0,0,0,0,0,0
80,5,42214,9810,675,1,1,0,0,0,1,1,0,0,0,1,1,0,0,7910.0,0,0,0,0,0,0,0,0
81,5,42214,9279,640,1,1,0,0,0,1,0,1,0,0,0,1,0,0,2370.0,3.0,2011.0,1,40.0,2014.0,1,0,0
82,5,42214,11492,1035,1,1,0,0,0,1,1,1,0,0,0,1,0,0,22390.0,4.0,2008.0,1,37.0,2009.0,1,0,0
